x,y,curvature,moment
0,0,14.98052114,0.390520742
0.004996795,-0.000179059,13.43255927,0.373676377
0.009970322,-0.000692939,11.88459741,0.357249151
0.014904575,-0.001501159,10.40845227,0.341287679
0.019790132,-0.002564838,9.013875932,0.325816443
0.024622836,-0.003847437,7.710997994,0.310841695
0.029402543,-0.005315254,6.511083803,0.296356669
0.034131974,-0.006937771,5.42655019,0.282346086
0.038815679,-0.008687909,4.469579157,0.268789932
0.043459137,-0.010542194,3.648993841,0.255666497
0.048068019,-0.012480818,2.966360695,0.242954656
0.052647664,-0.01448753,2.413742545,0.230635332
0.057202778,-0.016549321,1.975019039,0.21869221
0.061737325,-0.018655959,1.630001978,0.207111821
0.066254565,-0.020799454,1.358712923,0.195883263
0.07075715,-0.022973567,1.143968428,0.184997769
0.075247233,-0.02517338,0.97216293,0.174448279
0.079726577,-0.027394979,0.832995229,0.164229073
0.084196634,-0.029635203,0.718822309,0.15433547
0.088658616,-0.031891468,0.624002867,0.144763611
0.093113541,-0.034161636,0.544358224,0.135510279
0.097562274,-0.036443914,0.476767075,0.126572774
0.102005556,-0.038736785,0.418872635,0.117948814
0.106444029,-0.041038951,0.368874285,0.109636456
0.110878251,-0.043349295,0.325379778,0.101634038
0.11530871,-0.045666846,0.287300004,0.093940132
0.119735837,-0.047990755,0.253773463,0.086553507
0.124160014,-0.050320276,0.224111555,0.079473099
0.128581579,-0.05265475,0.197758502,0.072697987
0.133000835,-0.054993593,0.174261696,0.066227372
0.137418053,-0.057336283,0.153249498,0.060060562
0.141833475,-0.059682355,0.134414456,0.054196955
0.146247321,-0.062031391,0.117500482,0.048636033
0.150659787,-0.064383018,0.102292969,0.043377345
0.15507105,-0.0667369,0.088611094,0.038420505
0.159481271,-0.069092734,0.076301785,0.03376518
0.163890594,-0.071450249,0.065234943,0.029411086
0.168299148,-0.073809201,0.055299648,0.02535798
0.172707051,-0.07616937,0.046401102,0.021605659
0.177114407,-0.07853056,0.038458182,0.018153953
0.181521309,-0.080892596,0.031401444,0.015002718
0.185927841,-0.083255323,0.025171508,0.012151841
0.190334076,-0.085618603,0.019717738,0.009601228
0.194740079,-0.087982317,0.01499717,0.007350806
0.199145905,-0.090346359,0.010973627,0.005400519
0.203551602,-0.092710642,0.007617017,0.003750324
0.20795721,-0.095075092,0.004902748,0.002400191
0.21236276,-0.097439649,0.002811277,0.001350102
0.216768278,-0.099804266,0.001327756,0.000600044
0.22117378,-0.102168912,0.000441761,0.000150011
0.225579278,-0.104533566,0,0
